Statement,Label,num_label
"Says Walmart is ""one of the largest sellers of assault-style weapons.""",FALSE,0
"Old photograph shows a group of women in KKK attire holding a sign that reads ""Women of the Democrat Party.""
 ",FALSE,0
"Says congressional salaries have gone up 231% over the last 30 years...Now Congress is saying they need a $4,500 raise.",FALSE,0
"""What Congress is considering would cut money that vulnerable patients rely on the most. That means seniors, children and Americans who rely on Medicaid would be hurt. … Tell Congress we can end surprise billing without shredding the safety net.""",FALSE,0
"There are ""more gun deaths by far"" in the United States than any other country in the world.",FALSE,0
"""ICE just rolled up to the school where the families are reunifying after the El Paso shooting to check citizenship papers.""",FALSE,0
"The Dayton, Ohio, shooting suspect died in 2014.",FALSE,0
"Says of El Paso that some years, ""in a city of almost 700,000, we had five murders the entire year. Our average over the last 10 years is 18 (murders per year). We exceeded that average just on one day"" after a gunman opened fire at a Walmart in the city.",TRUE,1
"""Elijah Cummings’ house was broken into after Trump publicly attacked him on Twitter.""",FALSE,0
"Democrats ""want virtual immunity for illegal aliens who have created horrible crimes and murder.""
 ",FALSE,0
"Says that under President Donald Trump, ""not only have we not gone after al-Qaida ... our president is supporting al-Qaida.""",FALSE,0
"U.S. farmers are receiving $16 billion ""out of the tariffs that we’ve gotten from China.""",FALSE,0
"Says ex-Lt. Gov. Evelyn Sanguinetti ""publicly did not stand in opposition to"" former Gov. Bruce Rauner’s decision to sign a bill that expanded the public funding of abortions in Illinois.",FALSE,0
"""Studies show at the minimum wage, you can’t rent a two-bedroom apartment anywhere in the United States...a modest, two-bedroom apartment.""
 ",TRUE,1
"Says a photo showing thousands on a ship next to a crowded dock are ""Europeans trying to get to North Africa during World War II.""",FALSE,0
"Says Werner Herzog said, ""Dear America: You are waking up, as Germany once did, to the awareness that 1/3 of your people would kill another 1/3, while 1/3 watches.""",FALSE,0
Says Whoopi Goldberg kept her job and was applauded by ABC after calling Jeanine Pirro a racist slur.,FALSE,0
"Since 2014, there has been a 25% reduction in crime in communities at the Texas-Mexico border.",TRUE,1
"Says Donald Trump said, ""Immigrants aren’t people, they’re animals.""",FALSE,0
"""George Washington, as many don’t know, was not the first President of the United States. The first President of the United States was one John Hanson, and he was a black man.""",FALSE,0
"Soccer players on the U.S. women’s national team ""stomped"" on the American flag.",FALSE,0
"A Donald Trump supporter held a sign at his rally ""mocking a dead migrant child.""",FALSE,0
"Says Robert Mueller ""didn’t follow the special counsel regulations. It clearly says write a confidential report about decisions reached. Nowhere in here does it say write a report about decisions that were not reached.""",FALSE,0
"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",TRUE,1
"""How many people have with a concealed carry permit have committed a crime in Virginia? ...The answer is zero.""
 ",FALSE,0
"""Fox ‘News’ just announced that they will not air Mueller’s testimony about his report, which they claim ‘exonerates’ Trump.""",FALSE,0
"""Triggering leftists, Trump's reelection campaign is selling plastic straws.""",TRUE,1
"""Mexico, they took 30% of our automobile business.""",FALSE,0
"Says Rep. Alexandria Ocasio-Cortez ""called our country and our people garbage.""",FALSE,0
"Says Alexandria Ocasio-Cortez ""weeps over empty parking lot.""",FALSE,0
"""Indiana actually has a higher gas tax than Illinois does even with the increase in (Illinois’) taxes.""",FALSE,0
"Says that when his supporters chanted ""send her back"" about Ilhan Omar, he stopped it. 
 ",FALSE,0
"Says President Donald Trump is one of ""only three people that won the Ellis Island Award for their work within the black community.""
 ",FALSE,0
"Says the FDA will now require sealed ice cream cartons in response to the Blue Bell ice cream licker, thus driving up the cost for consumers.",FALSE,0
"Says ""Every single person who has cancer has a pH that is too acidic,"" and claims Dr. Otto Warburg won the Nobel Prize for proving that cancer can’t survive in an alkaline-rich environment and thrives in an acidic, low oxygen environment.",FALSE,0
"""I know that we’ve been blocked. People come up to me and they say, ‘Sir, I can’t get you — I can’t follow you. They make it impossible.’""",FALSE,0
"""Food Stamp participation hits 10 year low.""",TRUE,1
"""San Francisco has spent $72.5 million this fiscal year cleaning up human waste and drug paraphernalia"" and ""there are more drug users on their public needle program than high school graduates.""",FALSE,0
"Says Rep. Ilhan Omar, D-Minn., was ""speaking about how wonderful al-Qaida is.""",FALSE,0
"""We won (Wisconsin in 2016) not so late in the evening — a little bit early in the evening, actually, which is even better.""",FALSE,0
"""Somebody in the Obama regime decided to get rid of"" the citizenship question in the census.",FALSE,0
"Quotes George Washington as saying ""it is impossible to rightly govern a nation without God and the Bible.""
 ",FALSE,0
"""42 percent of (Walmart’s) associates are black.""",FALSE,0
"""White man asked black friend to impregnate his wife to fight ‘white privilege.’""
 ",FALSE,0
"The ""establishment media ignored"" President Donald Trump’s Fourth of July event.
 ",FALSE,0
"""In 2017, we had more marijuana possession arrests in our country than all other violent crimes combined.""",TRUE,1
"""The Nevada Gaming Commission did not find Trump ‘trustworthy’ enough for a gaming license.""",FALSE,0
"""Nearly every state that has legalized (marijuana) has also legislated that you lose your right to own a gun if you are prescribed, or buy it recreationally.""",FALSE,0
"Says the National Mall’s webcam was ""abruptly shut down"" and removed from the White House’s website to stop viewers from seeing the lack of attendees at president Trump’s Fourth of July event.",FALSE,0
"Says recent changes to Austin city policy give homeless people more rights than property owners and allow for ""homeless camps on private property, business frontage, and even public sidewalks."" ",FALSE,0
"""Texas medical professional: Migrants quarantined with UNKNOWN disease.""",FALSE,0
"""The wealthiest three families now own more wealth than the bottom half of the country.""",TRUE,1
"Says Facebook is removing the share button from ""Pro-Trump posts.""",FALSE,0
"""The Obama administration was begging for a meeting"" with Kim Jong Un.
 ",FALSE,0
Six Flags is offering five free passes and unlimited free rides to everyone.,FALSE,0
"""The typical black family in this country has one-tenth the wealth of the typical white family.""",TRUE,1
"Undocumented drivers ""have protections that US citizens don’t receive under Green light bill.""",FALSE,0
"""The first slaves shipped to the American Colonies in 1619 were 100 white children from Ireland.""
 ",FALSE,0
"Says Robert De Niro said, ""I preferred the time in America when the president and the village idiot were two different people.""",FALSE,0
There were no American flags at the first Democratic presidential debate.,FALSE,0
"""If you go to every hospital in this country and you ask them one question, which is, ‘How would it have been for you last year if every one of your bills were paid at the Medicare rate?’ Every single hospital administrator said they would close."" ",FALSE,0
"Says police are warning that a new technique by gangs is to throw eggs at your windshield and to not ""operate the wiper"" because it will ""block your vision up to 92.5%,"" forcing you to stop the car and become a victim.
 ",FALSE,0
"""Wisconsin is a Top 10 state for health care coverage.""",TRUE,1
" ""Five years ago, when I took office, our state was mired in debt - a $2.4 billion debt left over by Republicans.""
 ",FALSE,0
People are attaching HIV-infected needles to gas station pump handles.,FALSE,0
"In 2018, when he ran for senator, ""young voter turnout in early voting was up 500%. We won more votes than any Democrat has in the history of the state of Texas.""",TRUE,1
"Says that after ""the last income tax increase in the state of Illinois, we saw the largest exodus of middle-income families.""",FALSE,0
"""When I became president, President Obama had a separation policy. I didn’t have it. He had it.""",FALSE,0
"""The United States is the ONLY industrialized country without universal healthcare.""
 
 ",TRUE,1
"Quotes Gene Hackman as saying that Trump could ""easily turn out to be one of the best presidents that America has ever seen.""",FALSE,0
A bike a boy chained to a tree in Washington state in 1914 is now a fallen soldier memorial.,FALSE,0
A retired U.S. Army sergeant faces life in prison for killing two Syrian refugees after discovering they raped his teenage daughter.,FALSE,0
"""FactCheck.org exposed Snopes.com as an extremely liberal propaganda site with an agenda to discredit anything that appears to be conservative.""",FALSE,0
"""Barack Obama said, ‘If we don’t do something about this president, I will’ at DNC fundraiser last night.""",FALSE,0
"Says ""For the first time in our state’s history, the Pride flag has been raised at our State Capitol!!""",FALSE,0
"Says John Wayne said, ""If you don’t want an American flag flying in your town square or at your school, then why the hell are you living in the US?""
 ",FALSE,0
"Says Michael Bloomberg said, ""I have known Trump for decades. We have traveled in the same business circles. He is known among millionaires as a con-artist and among business owners as a cheat out to stiff everyone.""",FALSE,0
"""Just the last three weeks, on average about 23,000 women, children, men are coming over across the border illegally as family units or as unaccompanied children.""",TRUE,1
"Says that in New Mexico, ""illegals are issued emergency welfare EBT cards with $1k a month +$200 for each child, for at least 5+ years until they see a judge.""",FALSE,0
"""Most research shows that (UW salaries) are a little behind, and (in) some areas we're behind more than others.""",TRUE,1
"""Richard Nixon was the last president to be impeached.""",FALSE,0
"""Disease-ridden"" migrants from parts of Africa with Ebola are being ""dumped in San Antonio.""
 ",FALSE,0
"Says a viral photo shows Susan B. Anthony being ""beaten and arrested for trying to vote"" in 1872.",FALSE,0
"""Every day on average 500 people die from gun violence.""
 ",FALSE,0
"Says six eradicated diseases such as whooping cough and the bubonic plague are making a comeback ""thanks to refugees and illegal immigrants.""",FALSE,0
"Says there were ""rumors floating around"" that Chicago police union officials were ""telling their officers, ‘don’t do anything. Over Memorial Day weekend, don’t intercede. If you see some criminal activity, just lay back, do nothing.’""",FALSE,0
"""In 1921, early suffragettes often donned a bathing suit and ate pizza in large groups to annoy men…it was a custom at the time.""",FALSE,0
"Says swabbing a tick with a soap-soaked cotton ball is a ""safe, easy way"" to remove them from skin.",FALSE,0
"""The VA negotiates prescription drug prices. Medicare doesn't do that.""
 ",TRUE,1
"Says immigrant military service members applying for U.S. citizenship ""are getting rejected at higher numbers than those who are not veterans.""",TRUE,1
Leaving @[4:0] as a Facebook comment can reveal if your account has been hacked.,FALSE,0
"The media was silent that ""the Colorado school shooter is a transsexual, Trump-hating, Christian-hating, leftist freak.""",FALSE,0
"Quotes Thomas Jefferson as saying that ""a government big enough to give you everything you want, is strong enough to take everything you have.""",FALSE,0
"Says Albert Einstein said, ""Evil is the result of what happens when man does not have God’s love present in his heart.""",FALSE,0
Says the lines on the signature Solo cup are actually markings to designate various measurements.,FALSE,0
"Says presidential candidate Sen. Kirsten Gillibrand said, ""Social Security must (be) expanded to illegal immigration, it’s their right.""",FALSE,0
"The United Kingdom is ""our largest (trading) partner.""
 ",FALSE,0
"""We saw the prison population expand and vacancy rates for correctional officers go from 2.9% to 15.2%"" over the last eight years.",TRUE,1
"An investigation of a racist photo ""confirmed what I said all along, that I’m not in the picture.""
 ",FALSE,0
"Says U.S. Rep. Justin Amash ""votes more with Nancy Pelosi than he ever does with me.""",FALSE,0
"""California to teach kindergarteners there are 15 genders.""",FALSE,0
"Says Chris Jacobs is a ""Never Trumper."" ",FALSE,0
"""We beat the NRA with tough, tough gun laws"" in Colorado.
 ",TRUE,1
"""D.A.R.E. removed cannabis from its list of gateway drugs.""",FALSE,0
"Says when New York ""implemented a program"" to tax the wealthy at higher rates it saw a revenue shortfall ""because of the outward migration of their top earners.""",FALSE,0
"The ceilings of the Virginia Senate and House chambers are ""circled by gold-embossed tobacco leaves.""",FALSE,0
"Says Nancy Pelosi said, ""Just because someone is here illegally doesn’t mean they broke any of our laws.""",FALSE,0
"""In fact, ‘high Crimes and Misdemeanors’ is not defined in the Constitution and does not require corresponding statutory charges. The context implies conduct that violates the public trust—and that view is echoed by the Framers of the Constitution and early American scholars.""",TRUE,1
"Ohio ""thought that our (voting) machines were so awful we got rid of them, but South Carolina bought them. This is true. South Carolina bought all the machines we got rid of because they were not effective.""",FALSE,0
"""How to Survive The Coming Ice Age"" was a Time magazine cover story in 1977.
 ",FALSE,0
"""Wisconsin, many people may not be aware, actually has 15,000 freshwater lakes. … More than Minnesota.""",FALSE,0
"""Not one Democrat showed up to listen to border officials about the dangerous situation at our border. Not one!!! NOT ONE!""",FALSE,0
"Says Pennsylvania Republican nominee for Congress Fred Keller ""was a 50-50 shot"" before his landslide victory.",FALSE,0
"""Donald Trump has been in public eye for over 30 years and he was never once accused of being racist by anyone until he decided to run against the Democrats.""",FALSE,0
"""I actually in 2005 ran on Medicare for all.""",TRUE,1
"""They didn’t even put up a fight against SALT"" ",FALSE,0
"Says NASA spent more than $165 million over 10 years to develop a pen that ""writes in zero gravity, upside down"" and in extreme temperatures while the ""Russians used a pencil instead.""",FALSE,0
"Vanilla ice cream was black until 1912, when ""white people couldn’t tolerate eating something that tasted soooooo delicious being black.""",FALSE,0
"Says a photo of a park covered in trash was left behind by ""environmentalists"" after an Earth Day celebration in California.",FALSE,0
"""We’ve had a 30% increase in suicides in this country in just 15 years.""",TRUE,1
"Says a deer became ""riddled with tumors from eating plants sprayed with Monsanto’s Roundup.""",FALSE,0
